SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
192.168.1.19,192.168.1.255,137,137,2021-09-30 15:52:47,10.070885,1380,137.0286722567083230520455749,0,0E+6,0.0,0.0,92.0,92.0,92,-10,-10,0.0,7.735382877159093333333333333,2.781255629595937255355788103,5.2828848,5.396946,4.643717,-0.1230320565857920332419343687,0.22981267640359213,0.5264653186448315616035746422,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
fe80::c576:e922:2bc0:4471,ff02::1:3,50129,5355,2021-09-30 15:52:47,0.412789,170,411.8326796498937713941020715,0,0E+6,0.0,0.0,85.0,85.0,85,-10,-10,0.0,0.04259868963025,0.2063945,0.2063945,0.2063945,0.0,0,1.0,1,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
192.168.1.19,224.0.0.252,50129,5355,2021-09-30 15:52:47,0.413783,130,314.1743377567468939033261395,0,0E+6,0.0,0.0,65.0,65.0,65,-10,-10,0.0,0.04280409277225,0.2068915,0.2068915,0.2068915,0.0,0,1.0,1,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
fe80::c576:e922:2bc0:4471,ff02::1:3,61074,5355,2021-09-30 15:52:47,0.412789,170,411.8326796498937713941020715,0,0E+6,0.0,0.0,85.0,85.0,85,-10,-10,0.0,0.04259868963025,0.2063945,0.2063945,0.2063945,0.0,0,1.0,1,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
192.168.1.19,224.0.0.252,61074,5355,2021-09-30 15:52:47,0.411789,130,315.6956596703651627411125601,0,0E+6,0.0,0.0,65.0,65.0,65,-10,-10,0.0,0.04239254513025,0.2058945,0.2058945,0.2058945,0.0,0,1.0,1,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
192.168.1.19,34.120.115.102,65444,443,2021-09-30 15:52:48,16.703619,2157,129.1336925249552207817958492,16908,1012.235731669885430217248130,353998.57409972296,594.9777929466973,501.7105263157895,93.0,54,2.0608022576352103,0.7524827508241116,1.1858985644885651,25.98416221863370429362880887,5.097466254781261844624115367,1.818152921052631578947368421,0.087186,0.096927,1.018721950005479358887335682,0.33766303395106856,2.803650999735517442589564820,0.0000855897604462809917355371901,0.009251473420287224266567405450,0.009535909090909090909090909091,0.007576,0.0,0.6355449565291761702173296703,1.0307449049140798,0.9701721495129364310237996086,False
192.168.1.19,20.198.162.78,64188,443,2021-09-30 15:52:49,0.133329,151,1132.536807446242002865093116,228,1710.055576806246203001597552,5476.222222222222,74.00150148626865,126.33333333333333,97.0,54,1.1891650606079773,0.9774576445148906,0.5857638640074035,0.003026747274888888888888888889,0.05501588202409272370029830253,0.07232033333333333333333333333,0.083632,0.0,-0.6168218839995890782319994417,1.3145355608706335,0.7607249509002916243052664193,0E-12,0.000000,0.083632,0.083632,0.083632,-10,-10,0,False
,,,,2021-09-30 15:52:49,0.000000,84,-1,0,-1,0.0,0.0,42.0,42.0,42,-10,-10,0.0,0E-12,0.000000,0.000000,0.000000,0.0,-10,-10,-1,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
192.168.1.19,54.192.113.247,65445,443,2021-09-30 15:52:50,0.167048,1614,9661.893587471864374311575116,5622,33654.99736602653129639385087,202127.85185185185,449.5863119044572,268.0,54.0,54,1.427979417968653,0.4759931393228843,1.6775608653151388,0.002227183035506172839506172840,0.04719304011722674387753006969,0.1052018888888888888888888889,0.111006,0.073004,-0.3689597722478013836559054795,0.6822592655380932,0.4485949883187994035782739718,0.0001606452366913580246913580246,0.01267459019816254353880339967,0.01355744444444444444444444444,0.004036,0.001968,2.253669182730211848154319246,0.9143841546943731,0.9348804820923550968244637802,False
192.168.1.19,54.192.113.247,65446,443,2021-09-30 15:52:50,14.329539,28723,2004.460855300369397787325887,4331937,302308.1900959968077130743704,199668.44403241915,446.8427509006039,1294.7327790973873,1466.0,1466,-1.1498489382949142,-0.3832829794316381,0.34512353291319064,0.5050992124786104551853126541,0.7107033224057774553505304361,0.6733034578384798099762470309,0.758298,0.783901,-0.3587764661369870008888695888,-0.15561703269817317,1.055546817904906078705299979,0.000006770853434182693240699411996,0.002602086361784076766290816360,0.0008790440528634361233480176211,0.000000,0.0,1.013468344986906215665227858,0.33782278166230206,2.960131922066849881719806326,False
192.168.1.19,54.192.113.247,65447,443,2021-09-30 15:52:50,0.376179,1506,4003.413268683259831091049740,5730,15232.11024538849856052570718,202127.85185185185,449.5863119044572,268.0,54.0,54,1.427979417968653,0.4759931393228843,1.6775608653151388,0.007374900596444444444444444444,0.08587724143476223959865128564,0.1148336666666666666666666667,0.122001,0.074,-0.2503806554654445114004658778,0.4754888022071191,0.7478402800116304997545837511,0.00001710896158333333333333333333,0.004136298053009881121148166410,0.0099105,0.011002,0.001714,-0.7916499144971499014188468303,1.9816028475113416,0.4173652240562919248421539186,False
192.168.1.19,54.192.113.247,65448,443,2021-09-30 15:52:50,0.183058,1506,8226.900763692381649531842367,5622,30711.57775131379125741568246,214341.30560000002,462.97009147460057,285.12,54.0,54,1.4976345400446653,0.4992115133482217,1.6237727675175384,0.0027060403168256,0.05201961473161445858422059793,0.10655088,0.107005,0.078001,-0.02618935197864965763622629503,0.5488291319975707,0.4882138442368046006210422470,0.0002102354193877551020408163264,0.01449949721155030609983519826,0.01812857142857142857142857143,0.025999,0.0,-1.628420997624452336440525330,1.2502896592945443,0.7998146609996228739073789426,False
192.168.1.19,54.192.113.247,65449,443,2021-09-30 15:52:50,0.116002,1506,12982.53478388303649937070051,5622,48464.68164341994103549938794,214341.30560000002,462.97009147460057,285.12,54.0,54,1.4976345400446653,0.4992115133482217,1.6237727675175384,0.0011657701743744,0.03414337672776961877395167352,0.05661616,0.053002,0.032002,0.3175573431546843356511209952,0.7209058493614288,0.6030676882319397637344474355,0.0000378373699375,0.006151208819207814863239551239,0.00847575,0.010502,0.0,-0.9882203935295523762754770115,1.3778998972581706,0.7257421253821567251558329633,False
192.168.1.19,54.192.113.247,65450,443,2021-09-30 15:52:50,0.138002,1560,11304.18399733337198011623020,5622,40738.54002115911363603426037,208072.8698224852,456.15005187162393,276.2307692307692,54.0,54,1.461563590657965,0.48718786355265503,1.6513368628045422,0.001870301424096153846153846154,0.04324698167613728214915420156,0.0719295,0.0865035,0.011003,-1.010983849171717395125096949,1.4088035196596824,0.6012412386592049458032406948,0.0000558626914375,0.007474134828694221515555329001,0.00950725,0.0090035,0.0,0.2021973157612979406920289948,1.2720201358290157,0.7861510771983719283236823478,False
192.168.1.19,54.192.113.247,65451,443,2021-09-30 15:52:50,0.145001,1506,10386.13526803263425769477452,5622,38772.14639899035179067730567,214341.3056,462.97009147460057,285.12,54.0,54,1.4976345400446653,0.4992115133482217,1.6237727675175384,0.00222799059120,0.04720159521880590001380226790,0.0859436,0.110004,0.051001,-1.529211029106105513286273639,0.7402843026389557,0.5492159418363426714008055038,0.00003080407955102040816326530611,0.005550142300069468323655456569,0.01025114285714285714285714286,0.010003,0.003999,0.1341278351402366373036419085,1.1264833438711297,0.5414169305232347371106802861,False
